dynamicProperties;occurrenceID;collectionID;catalogNumber;preparastions;recordedBy;identifiedBy;eventDate;country;stateProvince;county;locality;decimalLatitude;decimalLongitude;minimumElevationInMeters;scientificName;taxoank;individualCount;class;order;family;genus;SD;specificEpithet
Acreditación del origen del especímen;ID del registro biológico;Número RNC;Número de catálogo;Preparaciones;Nombre del colector;Identificado por;Fecha del evento;País;Departamento;Municipio;Localidad;Latitud decimal;Longitud decimal;Elevación mínima en metros;Nombre científico;Categoría del taxón;Número de individuos;Clase;Orden;Familia;Género;SD;Epíteto específico
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 01;94;M1.CA 01;Montaje en alfiler;A. Villan;SD;28/01/1999;Colombia;Quindío;Calarcá;SD;SD;SD;1490;Vortidae ;Familia;1;Insecta;Mantodea ;Vortidae ;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 02;94;M1.CA 02;Montaje en alfiler;Arroyave, Garcia, López;Arroyave, Garcia, López;02/05/2008;Colombia;Quindío;Armenia;SD;SD;SD;1500;Betilidae;Familia;1;Insecta;Mantodea ;Betilidae;SD;  ;SD
Resolución 00386, junio 20 de 2000. CRQ;MAUQ.M1.CA 03;94;M1.CA 03;Montaje en alfiler;Gómez W. Marin. O;Gómez W. Marin. O;05/27/2005;Colombia;Quindío;Armenia;Hojas anchas;SD;SD;1500;Choeradodis  SD;Familia;1;Insecta;Mantodea ;Vatidae;Choeradodis;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 04;94;M1.CA 04;Montaje en alfiler;Gallego M;Gallego M;11/05/2008;Colombia;Quindío;Armenia;SD;SD;SD;1480;Angela  SD;Familia;1;Insecta;Mantodea ;Thespidae;Angela;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 05;94;M1.CA 05;Montaje en alfiler;C.Castañeda, M.Fonseca,G.Guitiérrez;SD;21/05/1999;Colombia;Quindío;Armenia;SD;SD;SD;1450;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 06;94;M1.CA 06;Montaje en alfiler;P. Tellez;SD;00/10/1997;Colombia;Quindío;Armenia;SD;SD;SD;SD;Mantidae;Familia;1;Insecta;Mantodea ;Mantidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 07;94;M1.CA 07;Montaje en alfiler;E. Medina, A. Villán;SD;17/12/1997;Colombia;Quindío;Calarcá;SD;SD;SD;1490;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 08;94;M1.CA 08;Montaje en alfiler;C.Velasquez, C.García, A. Bedoya;SD;03/04/2007;Colombia;Quindío;Armenia;Puerto espejo;SD;SD;SD;Mantidae;Familia;1;Insecta;Mantodea ;Mantidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 09;94;M1.CA 09;Montaje en alfiler;Villegas;Gonzales, Barrero;21/05/2008;Colombia;Quindío;Armenia;SD;SD;SD;1483;Vatidae;Familia;1;Insecta;Mantodea ;Vatidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 10;94;M1.CA 10;Montaje en alfiler;G. Ramirez, P.  Luna;Méndez D.;00/07/1999;Colombia;Quindío;Armenia;SD;SD;SD;1580;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 11;94;M1.CA 11;Montaje en alfiler;M. Navarro;Méndez D.;03/09/1997;Colombia;Quindío;Armenia;SD;SD;SD;1500;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 12;94;M1.CA 12;Montaje en alfiler;L. Carvajal, M. Angulo;SD;18/03/2007;Colombia;Quindío;Armenia;SD;SD;SD;SD;Mantidae;Familia;1;Insecta;Mantodea ;Mantidae;SD;  ;SD
Autodeclaración de la aplicación del art. 252 de la ley 1753 de 2015;MAUQ.M1.CA 13;94;M1.CA 13;Montaje en alfiler;Grupo de Artropodos;Lopez M, Méndez D.;00/00/2008;Colombia;Quindío;Armenia;SD;SD;SD;SD;Acanthopidae;Familia;1;Insecta;Mantodea ;Acanthopidae;SD;  ;SD
